name,short,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,g20,tx,ty,gx,gy,cx,cy,w,rate,peak,code,peak1,peak2,peak3,g20
Afghanistan,Afg.,AFG,9680,9800,10100,10500,10900,11300,11800,12300,12700,13000,13200,13000,13500,13900,14400,14900,15600,16200,16700,16600,17300,17400,15000,15700,16900,18000,18100,18300,17900,17700,17600,17700,17800,17700,17000,16600,14700,14900,15300,14600,14500,14800,13300,13400,13400,13800,14800,15700,16500,17500,16300,14800,17700,18600,18400,19300,19900,20800,24200,27600,31500,35700,35400,34100,34400,33300,,818.5,354.9,660.9,351.6,null,null,13.2,,,AFG,,,,
Angola,An.,AGO,97300,99600,97400,98200,98900,99600,100000,101000,102000,103000,105000,108000,110000,114000,116000,119000,119000,120000,120000,125000,123000,123000,127000,129000,131000,125000,130000,122000,128000,129000,125000,136000,144000,152000,157000,151000,150000,152000,156000,153000,184000,181000,193000,198000,206000,225000,229000,215000,237000,231000,226000,217000,224000,206000,221000,231000,166000,192000,174000,178000,186000,217000,184000,200000,181000,202000,,536.6,566.4,437.2,412,null,null,19.5,,,AGO,,,,
Albania,Alb.,ALB,2640,2740,2720,2760,2870,3050,3260,3970,3690,3970,4590,4810,5010,4630,4590,4830,5230,5410,5780,5970,6440,6930,8170,7850,6870,6950,7310,8100,8960,10000,7610,9800,9630,9960,10200,10200,10400,9900,9880,11700,7520,6270,4280,4240,3970,4070,4270,3830,4070,5460,6140,6930,7450,8050,8010,8020,6660,6820,6960,7020,7400,8200,8040,8120,8860,8090,,536.4,319.6,519.5,285.3,null,null,11.5,,0,ALB,,,,
Andorra,And.,AND,165,166,168,173,179,186,194,202,211,220,229,239,252,267,283,299,315,330,343,353,359,362,372,394,384,365,388,384,393,412,394,376,361,358,359,365,366,369,369,371,400,388,388,391,388,406,435,446,472,494,505,495,503,506,532,547,507,500,500,478,478,470,466,455,440,461,,null,null,396.6,256.3,null,null,7.5,,,AND,,,,
United Arab Emirates,U.A.E.,ARE,3250,3520,3830,4150,4510,4900,5320,5780,6280,6810,7390,7980,8540,9140,9840,10700,11800,13900,15900,37400,24600,32600,35800,46100,47000,46500,57700,55700,63500,48600,48500,45100,43900,42300,55800,57700,53600,53500,53300,59800,58900,63300,64800,71500,131000,125000,109000,105000,119000,111000,136000,135000,126000,157000,171000,183000,185000,200000,226000,241000,233000,242000,256000,250000,300000,323000,,783.2,425.4,597.5,413.9,669.7,473.7,39.4,,,ARE,,,,
Armenia,Arm.,ARM,2480,4300,4780,5240,5730,6300,6910,7560,8230,7450,7830,8060,8500,8940,9320,9710,10000,10300,10500,10800,10300,10700,11000,11300,11800,12300,12700,13000,13500,13600,13900,14100,14400,14700,14800,15300,15100,16100,17800,18000,26600,24200,26100,15600,14800,14600,11700,11300,9730,7680,6280,6410,6150,6660,7130,8000,8210,8950,9730,8640,8690,8920,9870,9890,10000,9280,,747.9,319.6,578.8,302.8,null,null,11.4,,0,ARM,,,,
Antigua and Barbuda,A. and B.,ATG,19.7,20.4,21.5,22.8,23.8,25.4,26.7,50.6,59.7,60.8,69.6,81.1,140,122,132,195,406,638,1090,1380,549,515,462,418,515,794,490,554,584,507,249,212,403,191,255,360,359,385,397,393,390,376,373,382,381,391,411,428,442,455,471,477,501,537,558,567,678,707,720,751,748,652,665,667,677,700,,254.3,213.8,262.4,425,null,null,7.7,,0,ATG,,,,
Azerbaijan,Aze.,AZE,10300,14300,15800,17200,18700,20700,22900,25100,27400,26500,28200,29500,31700,33700,35300,37000,38700,40700,42400,44200,45700,48500,51100,53800,56900,60000,62100,64200,67800,68200,70000,71500,72700,74100,74600,76800,76900,79800,81800,81100,79300,69700,61200,52200,46200,48700,41500,40500,40100,40500,41900,42800,43400,45600,47900,51700,49700,43700,54100,48300,48400,48300,50600,51200,53900,58800,,747.9,284.3,590.2,294.1,null,null,20.1,,0,AZE,1,,1,
Burundi,Buru.,BDI,3800,3870,3830,3850,3840,3870,3890,3920,3950,4060,4130,4420,4460,4620,4740,4890,4990,5160,5200,5510,5430,5500,5660,5790,5900,5800,6060,5810,5960,6060,5790,5960,6260,6580,6810,6660,6790,6790,7000,6970,7030,7010,7350,7570,7870,8300,8350,8250,8630,7890,7950,8760,8680,8170,8300,8430,2880,2800,3760,3500,3650,7450,7760,8110,8140,8220,,642.3,566.4,460.2,421.8,null,null,7.5,,,BDI,,,,
Benin,Benin,BEN,8440,8570,8460,8540,8610,8690,8770,8860,8980,9080,9300,9600,9810,10200,10400,10700,10900,11100,11100,11600,11700,11700,12000,12600,11700,11800,12300,12500,12200,12600,13700,13600,14900,15100,15600,15200,14900,15000,15000,15300,13500,13400,14300,14900,16000,16600,16700,16300,18100,18100,18200,17700,19100,17600,17600,19200,22400,23300,23300,23300,23800,24200,24300,25000,25700,25900,,501.1,460.6,416.9,375.5,null,null,11.8,,,BEN,,,,
Burkina Faso,B.F.,BFA,8980,8960,8840,8640,8390,8110,7840,7600,7380,7290,7350,7770,8030,7980,8420,9030,9270,9530,9770,10000,10100,10300,10000,9850,10100,10400,10600,10700,11100,11500,11800,12300,12600,12800,13100,14100,14400,14700,15100,15600,15400,15900,16400,16900,17500,18100,18900,19700,20800,19900,19600,19900,21000,23800,24100,25600,36100,37300,38200,38900,40400,38200,38400,40000,40200,41500,,500.9,425.4,416.6,364.3,null,null,9.9,,,BFA,,,,
Bangladesh,Bangl.,BGD,49000,49800,50700,47600,47700,48200,48600,49100,49100,49600,50000,49700,49700,51100,52200,53500,54200,56300,51800,52400,52100,50500,51200,54200,55800,57900,61000,63800,67500,70500,67300,71400,73400,72800,75500,76900,78800,79100,82200,84400,86100,93300,97300,98600,92400,101000,106000,109000,111000,117000,121000,128000,143000,150000,155000,154000,140000,142000,149000,153000,160000,175000,180000,183000,188000,200000,,924.2,390.1,800,399.7,null,null,25.7,,,BGD,,,,
Bahrain,Bah.,BHR,1630,1440,1570,1290,1370,1770,1430,1150,1740,1800,1080,2350,2210,1840,2300,1980,1450,1910,2130,2440,3610,4220,6670,8370,8630,8890,9880,10900,11300,11800,11600,12400,14300,12700,13900,15200,16400,16700,17600,17300,18600,15200,14600,18900,18800,18900,19800,21800,22900,22700,23200,18700,20700,21300,22500,24900,25000,33100,36200,34700,36000,35400,33600,38500,38700,39000,,818.5,390.1,618.1,395.1,null,null,18.9,,,BHR,,,,
"Bahamas, The",Bah.,BHS,185,201,218,228,238,294,313,362,373,471,648,804,1010,998,1440,1700,1460,2110,2030,2160,3010,7180,6950,8350,7860,8740,6960,10200,7120,7450,8520,3360,2820,2580,2430,2080,1990,2020,2150,2570,2590,2440,2450,2370,2370,2390,2390,2090,2450,2450,2470,2290,2300,2220,2630,2580,7380,7410,7400,7410,7390,3240,3190,4160,3650,3830,,148.5,178.6,217.6,370,null,null,9.6,,0,BHS,,,,
Bosnia and Herzegovina,B. and H.,BIH,13400,13200,13300,13300,14000,14700,15500,16000,16100,17000,17700,18200,18500,19100,20100,20400,20400,20400,21000,21100,23800,25200,23900,25800,26100,26600,26800,25600,26700,27900,27200,30000,28200,30400,32000,32300,32800,32400,33000,33500,36000,25100,6290,-1110,-717,-869,1890,4680,8870,9590,10800,19100,20100,21200,22700,23700,25500,25900,28300,29400,30300,33500,31900,31700,32300,30300,,571.6,284.3,501.8,268.3,null,null,16.8,,,BIH,,,,
Belarus,Bela.,BLR,32300,51700,56900,62000,67300,73500,79900,86500,92900,84100,87200,88700,92300,95900,98200,101000,103000,106000,107000,109000,106000,109000,111000,114000,118000,122000,125000,127000,132000,132000,135000,135000,137000,139000,139000,144000,143000,148000,149000,147000,144000,120000,111000,98000,81500,73500,75700,79800,76700,73200,71700,63400,65500,64500,69300,70900,66500,66200,69700,65600,68600,94500,94300,95400,94600,90600,,606.9,143.3,540.7,164.9,null,null,24.3,,0,BLR,,1,1,
Belize,Belize,BLZ,648,785,832,878,916,952,978,1000,1030,1050,1070,1310,1430,1490,1570,1620,1650,1710,1710,1770,1780,1680,1680,1660,1660,1680,1680,1720,1750,1750,1740,1730,2200,2330,2430,2540,2620,2680,2730,2800,2870,2920,2660,2580,2520,2440,2330,2310,2420,2320,2380,2260,2210,2780,2120,2550,6260,7330,6990,6420,6100,3620,3100,4870,3280,3730,,78,213.8,142.5,435.9,null,null,7.6,,,BLZ,,,,
Bolivia,Bol.,BOL,42900,58400,63800,68300,72500,76300,78900,80900,82600,84200,85600,116000,126000,133000,140000,145000,148000,151000,154000,156000,162000,141000,142000,137000,137000,139000,143000,138000,143000,145000,147000,145000,203000,219000,225000,237000,245000,254000,253000,255000,245000,246000,213000,205000,199000,198000,203000,212000,213000,210000,203000,194000,188000,193000,208000,209000,156000,160000,158000,159000,189000,171000,171000,172000,175000,183000,,219.1,425.4,182.4,494.7,null,null,16.4,,,BOL,,,,
Barbados,Barb.,BRB,162,205,186,216,226,248,255,274,296,302,326,353,431,350,348,372,441,525,633,682,628,680,699,683,686,754,716,776,829,795,881,894,858,898,956,1050,1130,1170,1170,1230,1310,1450,1220,1350,984,1070,1090,1130,1380,1450,1420,1450,1440,1480,1520,1570,1640,1640,1900,1890,1750,1750,1700,1670,1490,1550,,289.6,249.1,262.4,473,null,null,8.6,,,BRB,,,,
Brunei Darussalam,Bru.,BRN,1510,1420,1490,1520,1610,1640,1740,1830,1960,2070,2170,2230,2360,2430,2480,2570,2830,2900,2950,3150,10700,9490,12000,13800,11800,11000,10700,11800,15200,12800,13000,7170,7890,9190,6900,7290,7080,8690,10600,10800,10600,10000,10100,9790,9620,10000,9970,10300,12000,9090,10100,10100,10100,10700,11100,11100,12500,15900,17100,15900,16100,16300,16400,14600,16300,15800,,994.7,460.6,889.4,464.9,null,null,12.9,,0,BRN,,,,
Bhutan,Bhu.,BTN,3560,3620,3700,3320,3300,3320,3330,3350,3320,3350,3380,3430,3360,3400,3370,3440,3510,3580,3050,3000,2980,2940,2950,3210,3400,3440,3740,3960,4130,4300,4400,4810,4910,4980,5070,5140,5120,5200,5250,5290,5480,6300,6850,6960,6940,6980,6990,6930,6880,6820,6620,6390,7830,8150,8370,7810,-962,-857,-956,-954,-801,-1500,-1370,-1300,-1250,-1340,,924.2,354.9,812.5,391.4,978.8,394,8.3,,,BTN,,,,
Botswana,Bots.,BWA,9170,9140,8950,8690,8360,8000,7640,7310,7050,6890,6870,7890,7950,7980,8010,7680,7450,7760,7980,8360,8820,8500,8780,8940,9170,9640,10400,11000,10800,11100,11000,11200,11400,11300,11000,10900,10700,11100,11300,11700,24300,23600,23700,23500,24000,24900,29600,31900,34100,29700,26700,23100,42100,20700,15800,22500,46800,65600,50200,29900,38900,57600,41900,70600,37000,50900,,571.9,601.7,456.8,429.9,null,null,12.1,,,BWA,,,,
Central African Republic,C.A.F.,CAF,28500,28500,28300,27900,27400,26800,26300,25900,25600,25500,25600,27100,27500,27900,28300,28800,29300,29700,30200,30700,32000,31500,31300,33100,28100,29400,30300,33900,30400,32700,38100,33700,37500,36000,35800,33500,34000,35200,33700,35900,27400,25900,27200,26800,27000,28000,28700,32000,35400,31800,33300,27300,23500,30200,25300,28400,47300,55000,50000,42900,45800,47900,44500,47800,47200,48200,,607.1,495.9,457.9,391.9,null,null,7.2,,,CAF,,,,
Switzerland,Switz.,CHE,19900,22300,21100,20100,22800,24100,28200,29000,27600,28000,31400,32400,36900,42500,41300,44200,45600,47000,51200,53600,56200,57700,58900,63000,57500,54700,56500,57200,58600,55800,56500,54400,51600,55700,54600,55400,58200,55700,56200,55000,53300,53500,53200,50500,49600,50400,51200,49900,51500,51300,50500,52500,50900,52100,52800,53400,51200,49300,50800,49500,51100,48800,50200,51100,47200,46600,,501.1,213.8,460,221.7,759.3,310.4,19.7,,0,CHE,,1,1,
Chile,Chile,CHL,23400,28000,29900,31100,33200,34900,36200,37000,38400,39300,40500,46600,50300,52300,54100,55600,57800,59100,61000,62500,64800,63900,65000,63700,62500,59600,60400,59800,60000,62200,63000,62600,69000,72100,75600,76100,78800,80500,85800,92000,93000,91500,87200,89100,93800,96000,101000,108000,108000,111000,109000,105000,106000,106000,111000,113000,82800,89100,90600,84900,90600,-172,1650,2110,1410,3600,,183.8,495.9,171.8,540.2,452.2,464.2,26.9,,,CHL,,,,
Cote d'Ivoire,Ivo. Co.,CIV,54200,55800,54500,55800,57200,58600,60000,61500,62900,64200,65500,66900,67700,70100,71400,73200,73300,74300,73300,76700,75300,76500,78200,81200,80000,77400,83800,79600,80900,83300,85200,89300,99400,102000,107000,104000,102000,104000,109000,107000,96600,93900,101000,107000,114000,124000,125000,120000,128000,126000,125000,126000,126000,110000,111000,119000,26500,25800,25900,24000,25700,26300,28600,30800,30400,30800,,430.7,460.6,378.8,375.5,null,null,13.6,,,CIV,,,,
Cameroon,Cam.,CMR,19300,19700,19600,19600,19700,19800,19900,20100,20300,20500,20800,21800,22100,22900,23100,23700,24200,24700,24800,26000,26300,26800,26800,27700,26600,26900,28500,29400,29200,30100,34300,36500,39600,47800,49300,47800,47300,46100,39500,50000,42600,41200,45600,47100,45100,47100,47800,45800,50700,49300,50600,48700,47400,47200,45400,48500,140000,143000,140000,142000,140000,139000,139000,147000,144000,142000,,571.5,495.9,457.2,371.9,null,null,12.1,,0,CMR,,,,
"Congo, Dem. Rep.",D.R.C.,COD,128000,130000,130000,133000,135000,138000,141000,144000,146000,149000,151000,155000,158000,162000,165000,168000,170000,173000,175000,179000,232000,147000,157000,167000,152000,169000,160000,172000,181000,226000,191000,179000,201000,206000,175000,174000,167000,212000,168000,181000,138000,133000,146000,142000,150000,158000,157000,158000,168000,157000,153000,150000,150000,141000,147000,151000,223000,220000,214000,217000,221000,222000,214000,221000,220000,224000,,571.9,531.2,456.8,410.8,null,null,11,,,COD,,,,
"Congo, Rep.",Congo,COG,23900,24700,24100,24700,25300,26000,26700,27300,28000,28500,29200,29800,30100,31300,31800,32500,32600,33000,32600,34100,35000,32100,33100,35300,36000,34200,36300,33000,34200,36300,34100,37300,41600,43800,44200,43000,41900,44000,44000,43600,42300,41100,44900,46700,50900,54000,54000,52600,55300,54500,54600,54100,52100,47600,48400,51800,20300,18400,19300,19500,19700,23200,29200,32300,24000,27800,,536.6,531.2,456.8,400.8,null,null,10,,,COG,,,,
Colombia,Col.,COL,93200,115000,123000,132000,138000,146000,152000,157000,161000,166000,169000,212000,226000,238000,247000,256000,261000,267000,273000,278000,284000,266000,266000,265000,267000,268000,273000,274000,279000,282000,282000,284000,361000,383000,396000,410000,422000,432000,436000,441000,443000,445000,406000,399000,394000,383000,380000,382000,384000,369000,374000,372000,367000,371000,367000,373000,337000,340000,346000,352000,358000,209000,210000,222000,219000,225000,,183.8,390.1,155.3,467.7,null,null,27.1,,,COL,,,,
Comoros,Como.,COM,213,213,210,206,200,194,188,182,178,182,182,180,188,204,213,237,257,252,244,249,264,266,270,275,281,290,308,314,309,310,336,337,336,334,341,337,335,338,349,358,374,383,392,409,412,428,447,456,491,493,499,508,528,559,578,566,677,603,644,672,721,708,728,776,759,765,,748,566.4,516,423.5,null,null,6.9,,,COM,,,,
Cabo Verde,C. Verde,CPV,185,157,108,90.9,89.3,87.6,93.9,80.3,75.2,78.6,83.1,79.6,80.3,80.8,98.1,97.9,101,96.6,108,117,115,114,133,142,143,155,154,164,297,341,220,135,145,134,183,191,175,208,215,230,251,264,301,307,293,327,318,336,365,398,428,453,497,537,571,695,672,722,705,771,816,690,586,584,581,631,,395.3,354.9,385,357,null,null,7.6,,,CPV,,,,
Costa Rica,Co. Rica,CRI,8150,10200,10900,11600,12100,12500,13000,13300,13500,13700,14000,17800,19200,20300,21200,22100,22700,23000,23500,24000,24400,22900,22900,23000,22700,22700,22800,23600,24000,24100,24000,24000,31100,33200,34800,36200,37500,38200,38600,38800,38600,39700,36400,35900,36500,35400,35300,35300,35300,34600,33900,33700,33500,33800,33800,33700,5620,6760,7080,7120,6890,3840,3850,3830,4030,4510,,113.3,319.6,130.1,463.5,966.4,394,12.4,,,CRI,,,1,
Cuba,Cuba,CUB,23500,28000,29400,30700,31800,34000,34100,43300,48400,46800,45400,48900,54100,55000,58000,59800,61600,63100,64300,66100,68200,64600,64700,66500,67100,71300,72000,74200,76300,79200,78300,80300,93200,92200,98600,101000,104000,105000,107000,108000,105000,101000,94200,88400,89500,81400,81900,79000,77800,77700,78200,76600,75600,74100,73100,73000,77500,76900,80500,80300,87900,34800,35000,33800,34100,35300,,148.5,213.8,198,389.3,null,null,19.6,,,CUB,,,,
Djibouti,Dji.,DJI,225,239,235,233,229,225,209,217,215,200,204,231,241,267,291,334,363,320,367,338,410,442,479,474,504,530,550,590,616,790,806,748,798,837,865,905,946,994,993,1080,1050,1050,1050,1070,1090,1140,1190,1220,1230,1260,1290,1330,1370,1400,1400,1410,1410,1470,1510,1480,1550,1510,1570,1660,1790,1700,,677.4,460.6,489.5,390.3,null,null,7.9,,,DJI,,,,
Dominica,Domin.,DMA,14.6,18.5,24.2,20.3,21.4,22.5,23.7,24.9,30.9,36.8,37.6,39.5,39.3,44.1,44.2,44.1,44,53.9,54.1,49.4,57.3,58.7,60.1,61.6,66.6,68.5,79.9,79.3,78.2,81,89,90.7,97.3,94.5,99.7,106,109,115,123,137,138,139,137,141,144,154,146,154,152,157,179,187,174,189,187,190,713,756,732,733,741,322,330,327,331,336,,254.3,284.3,262.4,435,null,null,6.8,,,DMA,,,,
Dominican Republic,Dom. Rep.,DOM,7820,9750,10700,11300,11800,12500,12900,13200,13500,13800,13900,17800,19100,20000,21300,21800,22300,22500,23600,24200,24800,23700,24600,25600,26100,26000,26200,25600,25400,27000,26700,26400,33700,37300,38400,39400,41200,43200,43600,44500,43600,45800,43900,44600,45500,47700,47400,46700,45900,46300,48000,48400,49900,49500,47100,47300,20100,22300,21900,22000,22900,23100,23800,23200,23300,24800,,219.1,213.8,233,408.9,null,null,16.7,,,DOM,,,,
Algeria,Alg.,DZA,15300,15700,15600,15800,16000,16500,17000,17700,17600,18400,19300,20600,21000,21400,23000,25700,29000,31000,33200,36800,34300,40000,56500,72100,61600,60100,72200,77200,100000,83600,103000,79600,72900,89100,110000,117000,121000,129000,128000,126000,122000,126000,133000,135000,137000,149000,152000,144000,166000,154000,150000,143000,148000,154000,151000,171000,159000,167000,168000,180000,180000,189000,200000,205000,218000,227000,,501.2,354.9,435.6,338.2,null,null,33.7,,,DZA,,,,
Ecuador,Ecu.,ECU,17500,21800,23500,24900,26300,27700,28700,29300,30200,30800,31800,39300,42300,44900,46800,48600,50100,51300,52600,53600,55100,50500,50300,50700,51200,52200,53500,53200,56200,58600,60400,64100,82300,86700,92700,93900,92500,93100,97300,101000,98600,98900,95800,95800,84500,92400,93000,86100,89200,87100,84800,88400,88500,89900,92600,93200,84200,86600,88900,92000,92800,95200,94800,97400,99700,99700,,183.8,425.4,161.2,494.7,null,null,21.2,,,ECU,,,,
"Egypt, Arab Rep.",Egy.,EGY,28100,28600,28900,28500,29100,27600,26500,28400,30100,29000,32800,34500,37700,41900,47000,49700,49000,42900,48800,45800,48600,50200,53300,51000,54500,60400,65600,69800,72300,76500,79600,86700,94000,94700,103000,103000,116000,118000,119000,117000,124000,127000,131000,144000,136000,149000,156000,162000,175000,180000,196000,188000,195000,223000,229000,252000,262000,274000,289000,292000,294000,308000,309000,307000,297000,305000,,606.8,390.1,492.6,351.6,null,null,38.7,,,EGY,,,,
Eritrea,Eri.,ERI,4570,4580,4500,4410,4290,4160,4030,3920,3830,3780,3790,4010,4060,4130,4190,4260,4300,4350,4380,4440,4420,4480,4430,4510,4550,4400,4440,4400,4480,4530,4500,4660,4710,4890,4830,4970,5200,5000,5080,5240,5360,5370,5670,5500,5660,5880,6380,6720,6640,6800,6970,6790,6560,6680,6920,7060,6560,6830,6700,6790,6850,7030,7150,7220,7300,7340,,642.1,425.4,481.5,390.3,null,null,7.9,,,ERI,,,,
Ethiopia,Ethi.,ETH,64900,65100,63900,62900,61600,60000,58500,57300,56300,55800,56000,58700,59400,60500,61200,62300,62900,63700,64200,65400,64700,65900,65700,67200,67500,65000,66300,64900,66200,67100,66700,69500,71600,74900,74800,76300,78700,76400,77900,79800,75100,75900,76900,78500,80600,82700,85100,91100,95400,96000,91800,92600,101000,98100,101000,99800,117000,117000,128000,131000,135000,118000,126000,128000,133000,135000,,642.1,460.7,481.6,398.6,922.9,394,13.8,,,ETH,,,,
Fiji,Fiji,FJI,480,501,531,550,547,571,607,580,605,637,644,647,727,746,957,865,837,918,984,1050,1160,1200,1250,1310,1400,1360,1250,1570,1500,1710,1680,2000,1760,1620,1540,1550,1640,1520,1610,1730,1910,103,185,263,312,383,434,417,365,331,357,245,66.5,174,520,249,3030,2990,2750,2640,3050,-710,-732,-634,-604,-646,,1171.1,601.7,1043.4,609.8,null,null,8.5,,,FJI,,,,
"Micronesia, Fed. Sts.",Micr.,FSM,43.7,45.2,46.8,48.5,50.3,52.3,54.3,56.4,58.5,60.6,62.7,67,69.7,69.9,72.1,74.5,82.2,92.2,90.2,93.7,100,104,109,111,112,111,104,114,113,115,119,126,129,124,127,132,133,139,144,151,154,124,124,123,126,139,140,144,151,144,158,203,178,178,178,156,156,175,154,198,151,159,174,182,154,153,,1135.8,495.9,1024,579.9,null,null,6.9,,,FSM,,,1,
Gabon,Gabon,GAB,7760,8050,7860,8060,8260,8480,8720,8950,9160,9320,9640,9870,9920,10300,10600,10900,11100,11900,12700,12700,12500,13400,13600,17800,18400,18100,19500,19000,20800,20300,19600,20900,21800,21300,22900,23200,20700,19600,20400,22500,21500,21100,22900,23700,24400,26200,26600,25500,27600,26800,26400,26600,26000,24500,24400,25100,9110,8690,9140,8790,9120,-85000,-84900,-84600,-85100,-85200,,536.5,495.9,445.6,400.8,null,null,11.2,,0,GAB,,,,
Georgia,Geo.,GEO,8030,14000,15600,17200,18800,20700,22700,24700,26800,24200,25200,25900,27100,28300,29400,30500,31300,32100,32700,33400,31500,31900,32500,32600,33000,34100,34500,34600,35300,35700,35700,36200,36300,36800,37500,38900,38400,40400,42800,47500,46800,33500,20800,11600,7270,4980,8090,8850,9080,7870,7830,7630,7900,8240,8950,9170,11500,12100,11400,10500,10300,17000,18200,17600,19300,17000,,712.7,284.3,566,301.3,null,null,12.9,,0,GEO,1,,1,
Ghana,Gha.,GHA,29500,30500,29700,30400,30900,31500,32000,32700,33300,33900,34600,35300,35700,37200,37800,38500,38300,38700,38200,39800,39100,39500,40700,41800,42700,40400,43400,40600,41500,42000,41300,46000,49600,52000,53600,52200,51700,52200,54300,53300,54500,52800,57200,59900,64000,68600,68800,69400,74300,74200,74900,75200,75400,69000,68900,72800,15900,13600,13800,11200,13200,30100,31500,34900,34700,35200,,465.8,425.4,392.5,375.5,null,null,14.7,,,GHA,,,,
Guinea,Guinea,GIN,20400,20700,20400,20600,20900,21100,21400,21600,21700,22000,22700,23500,23900,24700,25200,25700,25900,26100,25900,26700,26400,26600,27000,28000,27300,26700,28500,27600,27500,28200,28900,30300,32800,33900,35000,33400,32600,33300,34200,34400,32100,31700,33400,34900,37500,40400,40900,38900,42700,42700,42700,42800,43900,40000,40400,42500,31800,32000,34400,32900,33000,34200,35800,35700,35400,36500,,430.7,425.4,398.8,364.6,null,null,9.6,,,GIN,,,,
"Gambia, The",Gamb.,GMB,849,845,836,822,805,784,766,749,745,731,735,780,814,852,883,909,937,902,1010,1030,1080,1110,1110,1090,1120,1180,1200,1220,1270,1260,1310,1370,1390,1330,1320,1370,1400,1440,1480,1470,1460,1490,1500,1500,1550,1590,1590,1570,1600,1850,1840,1800,1730,1700,1920,1920,1610,1640,1720,1920,2100,1970,1930,2030,2180,2280,,430.7,390.1,392.6,357,1107.6,357.5,7.6,,,GMB,,,,
Guinea-Bissau,Gui.-B.,GNB,1510,1520,1500,1470,1450,1430,1400,1380,1370,1370,1380,1470,1500,1540,1590,1580,1560,1530,1530,1560,1550,1580,1610,1690,1730,1770,1860,1810,1810,1840,1890,2050,2220,2240,2280,2190,2200,2240,2330,2390,2320,2310,2420,2490,2590,2690,2650,2640,2940,3290,2960,2850,2850,2810,2690,2710,3550,3490,3520,3580,3760,3790,3980,3930,3980,3990,,395.4,425.4,400.2,357,null,null,7.2,,,GNB,,,,
Equatorial Guinea,Eq. Gui.,GNQ,604,627,610,627,663,689,706,720,752,768,756,772,780,814,828,852,845,862,849,906,866,914,955,911,954,916,991,909,953,954,924,1050,1130,1200,1270,1210,1210,1230,1290,1280,1260,1490,1790,1980,2190,2440,2500,3030,3320,3730,3830,7530,9060,10100,9850,9520,13900,14100,13800,14000,14200,16100,15300,15600,16000,16000,,501.3,495.9,434.3,400.8,null,null,11.3,,,GNQ,,,,
Grenada,Gre.,GRD,26.4,31.1,32.3,33.8,35.5,37.2,39,40.7,46.2,47.6,56.4,52.1,58.6,50.2,58.3,59.5,68.2,75.5,80.7,87.9,85.2,88.9,87.1,95.5,76.3,86.3,88.7,90.6,96.1,92.4,92.5,104,107,107,106,105,108,114,137,144,150,154,162,166,190,197,203,219,229,250,245,253,266,278,268,280,123,130,147,149,157,327,347,382,321,332,,254.3,319.6,262.4,463.5,null,null,7.1,,,GRD,,,,
Guatemala,Gua.,GTM,14200,17400,18500,19600,20600,21700,22400,23000,23600,24200,24700,30700,32700,34500,35900,37200,37600,38100,39300,39800,40500,37900,38200,38000,37400,37600,36900,38100,38700,39800,40400,40100,51200,53900,56500,58800,60800,61900,62400,63100,64200,64800,59300,57100,57200,56100,53900,54300,56400,54900,56600,55800,55300,55200,55500,56800,41200,42600,41000,43000,43000,34900,35300,37500,41600,43100,,42.8,213.8,126.7,435.9,null,null,15.8,,,GTM,,,,
Guyana,Guy.,GUY,6800,8300,8900,9540,10000,10500,10900,11100,11300,11600,12000,14500,15300,15700,17200,18000,18700,18800,19000,19100,19600,17700,17500,17600,17400,17900,17600,17900,18100,17000,17500,17400,22300,23200,24400,25200,25600,26400,26500,26400,25800,25800,22700,21800,21000,20500,20100,20000,20000,19600,19200,19500,18500,18500,18300,19400,14300,14700,14800,16900,12200,18500,22800,20300,25400,22200,,254.3,390.1,219.7,485.5,null,null,9.2,,0,GUY,,,,
"Hong Kong SAR, China",H.K.,HKG,1780,2050,2060,2300,2420,2560,2850,3150,3200,3570,3850,4290,4620,5210,5180,5760,6140,7040,7240,8830,9590,10400,10600,10600,12100,12500,14100,15900,17600,17900,18800,20800,22000,23400,25000,25800,28600,31200,32600,33600,30700,32200,36600,38600,35100,35500,33300,35100,43800,47500,45700,43300,45000,48800,47200,49400,47600,49200,49500,47700,46200,49700,49500,51100,52500,52900,,null,null,913.3,387.1,null,null,21.6,,,HKG,,,,
Honduras,Hon.,HND,9630,12100,13000,13800,14500,15300,15800,16300,16700,17100,17400,22100,23500,24700,25600,26500,27000,27500,28200,28500,29000,26900,26700,26300,26400,26400,26500,27000,27100,27300,27600,27400,36300,39500,41800,43100,44300,45200,46000,46200,46300,46500,41500,39500,39000,38800,37900,38100,38400,37100,37600,37400,37100,39500,38800,40000,43100,45000,44800,44400,44500,46000,45600,46100,46600,47200,,78,249.1,142.5,443.5,null,null,13.1,,,HND,,,,
