name,short,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,g20,tx,ty,gx,gy,cx,cy,w,rate,peak,code,peak1,peak2,peak3,g20
Germany,Ger.,DEU,665000,733000,770000,786000,827000,895000,942000,959000,943000,947000,1010000,1030000,1090000,1150000,1180000,1180000,1180000,1170000,1220000,1290000,1260000,1270000,1270000,1320000,1300000,1230000,1320000,1280000,1310000,1350000,1330000,1280000,1240000,1230000,1250000,1270000,1260000,1240000,1240000,1230000,1240000,1150000,1100000,1090000,1070000,1070000,1090000,1050000,1030000,996000,996000,1040000,1020000,1020000,1000000,977000,989000,962000,965000,896000,932000,889000,894000,912000,871000,869000,1,501.1,178.6,428.1,150.1,663,262.4,67.7,0,0,DEU,1,1,1,1
Denmark,Den.,DNK,40300,40300,41500,42100,45000,47100,46600,45300,47800,47300,51500,53900,59500,63500,66400,68300,74900,74000,78600,85000,87200,81900,84000,84800,81600,80700,83400,87300,86500,88300,86100,74700,77700,75300,73400,82600,81500,80400,76700,71000,70800,82200,76200,78400,82300,79300,92600,83000,79000,76600,72300,75100,74600,79700,73600,69200,76200,71600,68000,65100,65500,58800,53900,55800,51600,49100,1,501.1,143.3,440,130.8,658.3,221.2,19.3,0,2,DNK,,1,1,1
Spain,Spa.,ESP,68400,68800,73800,75900,77600,79200,82300,91100,97700,94800,92300,98900,106000,105000,111000,118000,126000,137000,149000,150000,170000,180000,198000,211000,228000,236000,253000,251000,257000,261000,273000,266000,268000,263000,258000,260000,251000,250000,262000,292000,289000,252000,261000,251000,269000,284000,275000,289000,299000,327000,342000,339000,358000,365000,381000,396000,401000,410000,377000,340000,326000,327000,322000,293000,294000,305000,1,430.6,249.1,378.7,263.8,667.9,376.1,41.2,0,2,ESP,,1,1,1
Estonia,Est.,EST,13400,15300,16400,17300,18700,20800,22400,24000,25100,25200,25600,25500,25900,26900,27700,28700,29700,30200,30300,30800,32200,33100,34200,34800,35300,36500,37400,38100,38500,38500,40100,37800,38300,38200,38100,41700,42500,42900,43400,41600,40900,36900,26800,20900,21600,19800,20500,20100,18500,17200,16900,24600,24300,26000,26200,26100,20400,24200,22100,18700,23200,26500,25500,27300,26600,23600,1,606.9,72.8,540.7,122.4,775.6,256.6,16.1,0,0,EST,1,1,1,1
Finland,Fin.,FIN,22500,24100,25000,24100,26100,28300,29900,30400,29000,32400,34300,34000,36500,39600,43600,46300,50900,50200,55500,60400,62200,62000,66000,72200,69600,67100,71500,70100,72000,75100,79000,71500,62100,60400,60700,68300,72100,76400,70900,71300,74000,47600,46100,48400,54000,50600,56300,54800,51100,50400,48500,62500,64900,72400,68600,56600,63600,62000,53900,50100,58300,76100,70700,71600,67500,63900,1,571.6,72.8,518.9,100.6,751.9,234.8,21.8,0,2,FIN,,1,1,1
France,Fra.,FRA,289000,317000,318000,308000,324000,341000,374000,388000,380000,380000,392000,407000,429000,467000,483000,494000,495000,525000,543000,574000,599000,620000,641000,681000,666000,609000,669000,646000,668000,695000,672000,618000,595000,582000,569000,559000,543000,532000,524000,544000,536000,563000,552000,529000,528000,536000,551000,543000,558000,544000,540000,488000,483000,487000,485000,488000,501000,493000,486000,464000,473000,419000,418000,416000,389000,392000,1,465.9,213.8,404.1,217.8,663,330.1,46,0,0,FRA,,1,1,1
United Kingdom,U.K.,GBR,678000,725000,713000,730000,749000,780000,785000,788000,780000,776000,817000,827000,833000,846000,855000,874000,874000,852000,869000,893000,926000,920000,897000,913000,866000,854000,855000,855000,853000,896000,813000,789000,772000,770000,737000,778000,792000,794000,791000,802000,804000,801000,781000,761000,750000,743000,765000,740000,737000,706000,706000,710000,689000,697000,693000,686000,681000,670000,650000,593000,608000,559000,576000,560000,518000,498000,1,430.6,108.1,330.6,123.3,677.6,209.3,53.1,0,0,GBR,,1,1,1
Greece,Gr.,GRC,20100,20600,21000,21300,21800,23000,23600,24500,25500,26400,28000,29000,29400,31800,33000,37000,39000,40400,43700,47200,45300,49300,53800,61000,60900,63400,67500,71500,72800,76600,76400,75600,77100,80900,83000,87000,85300,90000,95500,102000,104000,103000,104000,104000,107000,109000,112000,117000,123000,123000,126000,127000,127000,131000,132000,136000,132000,135000,132000,124000,118000,115000,112000,102000,99200,95600,1,606.9,319.6,531.1,273.9,756.2,330.1,24.9,0,2,GRC,,1,1,1
Croatia,Cro.,HRV,9730,9720,9710,10000,10300,10500,10900,11300,11600,12100,12600,12800,13200,13600,14200,15100,15900,17200,18500,19300,21000,21600,20800,24800,24600,25100,25400,24700,27200,29400,28300,27000,26500,27200,28000,27900,29600,30100,31000,28200,31700,13100,12000,12100,11100,11600,12200,13500,13800,14800,14600,15600,16600,18000,18000,18400,20700,22200,20900,18900,18000,23400,21600,20300,19500,20000,1,536.4,284.3,503.2,252.9,781.5,354.9,15.4,0,2,HRV,1,1,1,1
Hungary,Hun.,HUN,33100,36900,41900,46400,48900,51100,49300,54700,56100,59200,62900,67000,69300,74600,81300,81200,81800,80200,83600,85100,91500,91500,91200,95900,97800,98600,104000,108000,113000,112000,112000,112000,111000,113000,114000,108000,109000,109000,105000,102000,93800,91200,81200,82100,81000,79700,81800,80300,79900,80400,77500,81300,79600,82700,81700,81500,78200,76400,74600,68500,68900,68500,64900,62000,62500,65700,1,571.6,213.8,503.2,217.8,781.1,334,20.9,0,0,HUN,1,1,1,1
Indonesia,Indo.,IDN,349000,354000,366000,334000,337000,347000,351000,356000,356000,362000,364000,373000,366000,367000,366000,376000,383000,389000,352000,351000,348000,335000,456000,392000,387000,391000,465000,595000,533000,592000,599000,617000,1100000,732000,642000,660000,751000,911000,669000,689000,681000,815000,839000,835000,870000,874000,930000,1110000,951000,973000,1010000,1020000,1300000,1240000,1350000,1270000,2550000,2070000,2110000,2460000,2140000,2450000,2500000,2360000,2620000,2430000,1,994.7,495.9,887.8,509.5,396.6,464.2,55.5,1,,IDN,,,,1
India,India,IND,777000,790000,808000,756000,760000,772000,780000,797000,800000,812000,830000,852000,854000,871000,867000,890000,911000,925000,867000,867000,866000,873000,890000,935000,970000,1010000,1060000,1110000,1140000,1180000,1210000,1310000,1330000,1380000,1410000,1460000,1490000,1530000,1600000,1680000,1710000,1870000,1940000,2000000,2060000,2110000,2190000,2220000,2250000,2300000,2310000,2280000,2480000,2580000,2680000,2630000,1760000,1880000,2020000,2160000,2140000,2500000,2670000,2690000,2870000,2960000,1,889,390.1,674.1,387.2,894.1,279.1,114.8,2,,IND,,,,1
Ireland,Ire.,IRL,19600,20500,19700,19900,19700,22700,22200,21300,20800,24400,23400,25400,26300,26900,28000,28200,30600,32400,33800,34700,35900,39700,39200,41100,42700,41300,40800,42500,42800,47200,46300,45200,45100,45200,45600,46500,48600,50100,49800,50300,52500,55000,55000,55300,56700,58100,60300,61700,64200,65300,67400,70100,67900,68400,67900,68900,62800,62100,61400,55800,55600,58200,58500,58400,58200,60400,1,395.3,108.1,309.4,157,643.6,275.1,19.4,0,2,IRL,,1,1,1
